iter	Passed	Remaining
821	5103	1105
822	5112	1099
823	5118	1093
824	5126	1087
825	5129	1080
826	5135	1074
827	5142	1068
828	5149	1062
829	5157	1056
830	5164	1050
831	5170	1044
832	5177	1038
833	5185	1032
834	5191	1025
835	5199	1019
836	5206	1014
837	5214	1008
838	5220	1001
839	5228	995
840	5234	989
841	5241	983
842	5248	977
843	5252	970
844	5258	964
845	5266	958
846	5273	952
847	5280	946
848	5286	940
849	5294	934
850	5302	928
851	5310	922
852	5317	916
853	5324	910
854	5332	904
855	5339	898
856	5345	891
857	5352	885
858	5361	880
859	5368	873
860	5376	867
861	5385	862
862	5392	856
863	5401	850
864	5408	844
865	5415	838
866	5421	831
867	5428	825
868	5434	819
869	5442	813
870	5449	807
871	5456	801
872	5463	794
873	5470	788
874	5475	782
875	5482	776
876	5485	769
877	5491	763
878	5498	756
879	5504	750
880	5512	744
881	5518	738
882	5525	732
883	5533	726
884	5539	719
885	5546	713
886	5553	707
887	5561	701
888	5570	695
889	5575	689
890	5583	683
891	5591	676
892	5598	670
893	5606	664
894	5614	658
895	5622	652
896	5629	646
897	5637	640
898	5645	634
899	5652	628
900	5659	621
901	5666	615
902	5674	609
903	5682	603
904	5688	597
905	5693	590
906	5700	584
907	5708	578
908	5716	572
909	5722	565
910	5730	559
911	5735	553
912	5743	547
913	5751	541
914	5757	534
915	5765	528
916	5770	522
917	5776	515
918	5783	509
919	5789	503
920	5797	497
921	5804	491
922	5811	484
923	5818	478
924	5827	472
925	5833	466
926	5840	459
927	5848	453
928	5856	447
929	5861	441
930	5869	434
931	5876	428
932	5882	422
933	5893	416
934	5901	410
935	5908	403
936	5914	397
937	5922	391
938	5929	385
939	5937	378
940	5944	372
941	5952	366
942	5960	360
943	5966	353
944	5974	347
945	5981	341
946	5989	335
947	5996	328
948	6003	322
949	6010	316
950	6018	310
951	6025	303
952	6032	297
953	6039	291
954	6045	284
955	6051	278
956	6058	272
957	6067	265
958	6073	259
959	6079	253
960	6086	247
961	6092	240
962	6099	234
963	6106	228
964	6115	221
965	6122	215
966	6128	209
967	6135	202
968	6140	196
969	6147	190
970	6155	183
971	6161	177
972	6169	171
973	6178	164
974	6187	158
975	6194	152
976	6200	145
977	6208	139
978	6215	133
979	6221	126
980	6229	120
981	6236	114
982	6244	107
983	6252	101
984	6260	95
985	6267	88
986	6274	82
987	6283	76
988	6287	69
989	6296	63
990	6303	57
991	6311	50
992	6319	44
993	6326	38
994	6334	31
995	6342	25
996	6349	19
997	6356	12
998	6363	6
999	6370	0
